TEAM,ADJOE_2025,ADJDE_2025,BARTHAG_2025,EFG_O_2025,EFG_D_2025,TOR_2025,TORD_2025,ORB_2025,DRB_2025,FTR_2025,FTRD_2025,2P_O_2025,2P_D_2025,3P_O_2025,3P_D_2025,SEED_2025
Davidson,109.218,107.55,0.544,52.4,52.3,14.6,15.4,24.4,26.9,29.2,28.1,53.3,51.9,34.1,35.3,
Dayton,114.593,104.531,0.742,52.6,50.4,15.5,17.7,29.6,28.8,37.9,30.7,52.1,51.9,35.6,32.3,
Delaware,108.991,114.675,0.358,55.1,52.2,16.6,15.5,22.4,32.5,30.0,32.9,54.1,51.9,37.7,35.3,
Delaware St.,101.045,114.44,0.193,48.8,53.8,18.1,20.0,34.0,32.1,36.3,40.3,47.6,56.3,35.5,33.5,
Denver,100.031,108.502,0.282,50.3,54.3,18.5,17.6,26.1,29.1,31.6,49.8,50.5,56.2,33.3,34.1,
DePaul,109.36,104.167,0.636,52.7,51.4,17.9,15.5,27.2,28.7,27.4,28.9,53.3,51.3,34.6,34.4,
Detroit Mercy,94.719,112.429,0.122,45.6,51.2,19.1,15.5,31.9,30.5,28.9,39.8,43.9,52.4,33.3,33.2,
Drake,112.649,98.542,0.823,53.8,51.7,18.6,22.1,36.0,25.8,43.0,35.8,54.6,54.3,35.0,31.8,11.0
Drexel,103.785,105.643,0.449,52.2,47.8,18.6,14.4,33.0,30.1,24.2,28.2,51.9,48.1,35.0,31.6,
Duke,128.56,91.27,0.981,57.4,44.5,14.4,17.7,35.2,26.5,32.1,25.4,58.0,43.4,37.7,30.9,1.0
Duquesne,106.38,102.983,0.592,50.0,50.2,18.3,20.0,32.9,30.7,30.0,39.5,49.2,48.1,34.0,35.9,
East Carolina,106.435,108.274,0.451,48.4,51.7,15.6,17.4,33.8,31.2,35.2,31.6,49.3,48.5,31.2,38.4,
East Tennessee St.,104.958,105.497,0.485,50.3,50.3,16.1,18.9,35.7,29.8,33.2,34.3,48.9,49.5,34.7,34.2,
Eastern Illinois,93.482,105.812,0.194,44.1,51.0,18.7,20.8,30.0,30.9,33.0,39.7,42.6,50.2,31.7,34.7,
Eastern Kentucky,109.566,110.854,0.466,49.7,52.6,13.8,17.8,32.4,33.2,26.0,31.8,47.7,52.1,34.9,35.5,
Eastern Michigan,104.532,113.186,0.286,52.4,53.7,18.7,17.8,29.6,31.7,33.0,38.5,52.4,51.9,35.0,37.7,
Eastern Washington,101.889,111.566,0.26,50.9,54.4,18.7,19.0,26.9,33.6,31.1,39.7,52.5,53.8,32.3,36.9,
Elon,106.156,111.395,0.365,50.2,48.1,19.0,13.3,36.3,31.4,38.8,24.7,50.8,47.1,32.8,32.9,
Evansville,98.194,105.744,0.299,48.8,50.2,17.7,16.7,22.6,29.2,31.1,34.6,51.5,49.4,29.9,34.1,
Fairfield,97.416,113.351,0.149,46.3,53.7,15.5,18.2,28.6,31.0,25.4,31.0,45.8,53.4,31.5,36.0,
Fairleigh Dickinson,97.816,109.845,0.209,49.1,50.5,17.1,17.6,25.9,32.0,32.1,30.4,49.7,53.3,32.2,30.3,
FIU,96.291,103.859,0.295,46.1,51.6,19.5,20.6,31.0,29.6,36.0,37.5,47.4,52.6,28.8,33.3,
Florida,127.816,94.087,0.971,55.0,45.3,15.0,17.0,38.1,28.8,32.6,33.0,56.4,45.9,35.5,29.6,1.0
Florida A&M,101.987,116.47,0.178,50.6,51.4,20.7,15.4,27.7,31.9,36.7,39.9,50.8,51.5,33.6,34.2,
Florida Atlantic,112.311,106.865,0.639,53.2,49.6,16.3,16.0,30.7,31.6,33.2,33.3,53.8,46.6,34.9,36.8,
